course_number,description
CMN 3360.,risis Communication.  (3 Hours)
CMN 3410.,igital Communication Strategy.  (3 Hours)
CMN 3800.,esigning and Implementing a Promotional Campaign.  (3 Hours)
CMN 3850.,anaging Communication Projects.  (3 Hours)
CMN 3990.,lective.  (1-4 Hours)
CMN 4850.,apstone in Professional Communication.  (3 Hours)
CMN 4955.,roject.  (1-4 Hours)
CMN 4990.,lective.  (1-4 Hours)
CMN 6000.,ntroduction to Organizational Communication.  (3 Hours)
CMN 6005.,oundations of Professional Communication.  (4 Hours)
CMN 6010.,trategic Communication Management.  (3 Hours)
CMN 6020.,thical Issues in Organizational Communication.  (3 Hours)
CMN 6025.,"igital Era Skills: Platforms, Tools, and Techniques.  (3 Hours)"
CMN 6040.,onsumer Behaviors in the Online Environment.  (3 Hours)
CMN 6045.,"everaging Digital Technologies: Strategy, Assessment, and Governance.  (3 Hours)"
CMN 6050.,risis Communication.  (3 Hours)
CMN 6060.,"egotiation, Mediation, and Facilitation.  (3 Hours)"
CMN 6065.,mplementation and Management of Social Media Channels and Online Communities.  (3 Hours)
CMN 6075.,igital Marketing Analytics.  (3 Hours)
CMN 6080.,ntercultural Communication.  (3 Hours)
CMN 6085.,trategies for Cross-Cultural Facilitation and Negotiation.  (3 Hours)
CMN 6090.,"rganizational Culture, Climate, and Communication.  (3 Hours)"
CMN 6095.,oundations of Developing Cultural Awareness.  (3 Hours)
CMN 6096.,ultural Communications Lab.  (1 Hour)
CMN 6100.,ommunication Networks and Managing Information.  (3 Hours)
CMN 6110.,roup Dynamics and Interpersonal Conflict: Meeting Management.  (3 Hours)
CMN 6910.,rganizational Communication Assessment.  (3 Hours)
CMN 6940.,rojects for Professionals.  (4 Hours)
CMN 6962.,lective.  (1-4 Hours)
CMN 6995.,roject.  (1-4 Hours)
CMMN 1102.,Public Speaking.  (4 Hours)
CMMN 1103.,Public Speaking Discussion.  (1 Hour)
CET 1990.,lective.  (1-4 Hours)
CET 2100.,ssentials of Computer Organization.  (3 Hours)
CET 2200.,ata Structures and Algorithms.  (3 Hours)
CET 2300.,bject-Oriented Programming.  (3 Hours)
CET 2990.,lective.  (1-4 Hours)
CET 3100.,omputer Networking and Communications Technology.  (3 Hours)
CET 3990.,lective.  (1-4 Hours)
CET 4210.,obotics.  (3 Hours)
CET 4950.,eminar.  (1-4 Hours)
CET 4955.,roject.  (1-4 Hours)
CET 4983.,opics.  (1-4 Hours)
CET 4990.,lective.  (1-4 Hours)
CET 4991.,esearch.  (1-4 Hours)
CET 4992.,irected Study.  (1-4 Hours)
CET 4994.,nternship.  (1-4 Hours)
CET 4995.,racticum.  (1-4 Hours)
CET 4996.,xperiential Education Directed Study.  (1-4 Hours)
CS 1100.,mputer Science and Its Applications.  (4 Hours)
CS 1101.,b for CS 1100.  (1 Hour)
CS 1200.,rst Year Seminar.  (1 Hour)
CS 1210.,ofessional Development for Khoury Co-op.  (1 Hour)
CS 1800.,screte Structures.  (4 Hours)
CS 1802.,minar for CS 1800.  (1 Hour)
CS 1990.,ective.  (1-4 Hours)
CS 2500.,ndamentals of Computer Science 1.  (4 Hours)
CS 2501.,b for CS 2500.  (1 Hour)
CS 2510.,ndamentals of Computer Science 2.  (4 Hours)
CS 2511.,b for CS 2510.  (1 Hour)
CS 2800.,gic and Computation.  (4 Hours)
CS 2810.,thematics of Data Models.  (4 Hours)
CS 2963.,"pics.  (1,2 Hours)"
CS 2990.,ective.  (1-4 Hours)
CS 2991.,search in Computer Science.  (1-4 Hours)
CS 2992.,search.  (0 Hours)
CS 3000.,gorithms and Data.  (4 Hours)
CS 3001.,citation for CS 3000.  (0 Hours)
CS 3200.,tabase Design.  (4 Hours)
CS 3500.,ject-Oriented Design.  (4 Hours)
CS 3501.,b for CS 3500.  (1 Hour)
CS 3520.,ogramming in C++.  (4 Hours)
CS 3540.,me Programming.  (4 Hours)
CS 3650.,mputer Systems.  (4 Hours)
CS 3700.,tworks and Distributed Systems.  (4 Hours)
CS 3800.,eory of Computation.  (4 Hours)
CS 3950.,troduction to Computer Science Research.  (2 Hours)
CS 3990.,ective.  (1-4 Hours)
CS 4050.,lues and Sociotechnical Algorithmic Systems.  (4 Hours)
CS 4097.,xed Reality.  (4 Hours)
CS 4100.,tificial Intelligence.  (4 Hours)
CS 4120.,tural Language Processing.  (4 Hours)
CS 4150.,me Artificial Intelligence.  (4 Hours)
CS 4180.,inforcement Learning.  (4 Hours)
CS 4200.,tabase Internals.  (4 Hours)
CS 4300.,mputer Graphics.  (4 Hours)
CS 4360.,n-Interactive Computer Graphics.  (4 Hours)
CS 4400.,ogramming Languages.  (4 Hours)
CS 4410.,mpilers.  (4 Hours)
CS 4500.,ftware Development.  (4 Hours)
CS 4520.,bile Application Development.  (4 Hours)
CS 4530.,ndamentals of Software Engineering.  (4 Hours)
CS 4550.,b Development.  (4 Hours)
CS 4610.,botic Science and Systems.  (4 Hours)
CS 4700.,twork Fundamentals.  (4 Hours)
CS 4710.,bile and Wireless Systems.  (4 Hours)
CS 4730.,stributed Systems.  (4 Hours)
CS 4805.,ndamentals of Complexity Theory.  (4 Hours)
CS 4810.,vanced Algorithms.  (4 Hours)
CS 4820.,mputer-Aided Reasoning.  (4 Hours)
CS 4830.,"stem Specification, Verification, and Synthesis.  (4 Hours)"
CS 4850.,ilding Game Engines.  (4 Hours)
CS 4950.,mputer Science Research Seminar.  (1 Hour)
CS 4955.,mputer Science Teaching Seminar.  (1 Hour)
CS 4970.,nior/Senior Honors Project 1.  (4 Hours)
CS 4971.,nior/Senior Honors Project 2.  (4 Hours)
CS 4973.,pics in Computer Science.  (4 Hours)
CS 4990.,ective.  (1-4 Hours)
CS 4991.,"search.  (4,8 Hours)"
CS 4992.,rected Study.  (1-6 Hours)
CS 4993.,dependent Study.  (1-6 Hours)
CS 4998.,search.  (0 Hours)
CS 5001.,tensive Foundations of Computer Science.  (4 Hours)
CS 5002.,screte Structures.  (4 Hours)
CS 5003.,citation for CS 5001.  (0 Hours)
CS 5004.,ject-Oriented Design.  (4 Hours)
CS 5005.,citation for CS 5004.  (0 Hours)
CS 5006.,gorithms.  (2 Hours)
CS 5007.,mputer Systems.  (2 Hours)
CS 5008.,"ta Structures, Algorithms, and Their Applications within Computer Systems.  (4 Hours)"
CS 5009.,citation for CS 5008.  (0 Hours)
CS 5010.,ogramming Design Paradigm.  (4 Hours)
CS 5011.,citation for CS 5010.  (0 Hours)
CS 5081.,cessibility and Inclusiveness in Human-Computer Interaction.  (2 Hours)
CS 5097.,xed Reality.  (4 Hours)
CS 5100.,undations of Artificial Intelligence.  (4 Hours)
CS 5150.,me Artificial Intelligence.  (4 Hours)
CS 5170.,tificial Intelligence for Human-Computer Interaction.  (4 Hours)
CS 5180.,inforcement Learning and Sequential Decision Making.  (4 Hours)
CS 5200.,tabase Management Systems.  (4 Hours)
CS 5310.,mputer Graphics.  (4 Hours)
CS 5330.,ttern Recognition and Computer Vision.  (4 Hours)
CS 5335.,botic Science and Systems.  (4 Hours)
CS 5340.,mputer/Human Interaction.  (4 Hours)
CS 5350.,plied Geometric Representation and Computation.  (4 Hours)
CS 5360.,ninteractive Computer Graphics.  (4 Hours)
CS 5400.,inciples of Programming Language.  (4 Hours)
CS 5500.,undations of Software Engineering.  (4 Hours)
CS 5520.,bile Application Development.  (4 Hours)
CS 5600.,mputer Systems.  (4 Hours)
CS 5610.,b Development.  (4 Hours)
CS 5700.,ndamentals of Computer Networking.  (4 Hours)
CS 5800.,gorithms.  (4 Hours)
CS 5850.,ilding Game Engines.  (4 Hours)
CS 5933.,vanced Computer Science Topics for Teachers.  (4 Hours)
CS 5934.,troduction to Inclusive Computer Science Teaching.  (4 Hours)
CS 5963.,"pics.  (1,2 Hours)"
CS 5964.,ojects for Professionals.  (0 Hours)
CS 5965.,gaging with Industry Partners for Rising Professionals.  (0 Hours)
CS 5976.,rected Study.  (2-4 Hours)
CS 6120.,tural Language Processing.  (4 Hours)
CS 6140.,chine Learning.  (4 Hours)
CS 6200.,formation Retrieval.  (4 Hours)
CS 6220.,ta Mining Techniques.  (4 Hours)
CS 6240.,rge-Scale Parallel Data Processing.  (4 Hours)
CS 6350.,pirical Research Methods.  (4 Hours)
CS 6410.,mpilers.  (4 Hours)
CS 6510.,vanced Software Development.  (4 Hours)
CS 6620.,ndamentals of Cloud Computing.  (4 Hours)
CS 6640.,erating Systems Implementation.  (4 Hours)
CS 6650.,ilding Scalable Distributed Systems.  (4 Hours)
CS 6710.,reless Network.  (4 Hours)
CS 6760.,"ivacy, Security, and Usability.  (4 Hours)"
CS 6949.,reer Preparation.  (1 Hour)
CS 6954.,-op Work Experience - Half-Time.  (0 Hours)
CS 6955.,-op Work Experience Abroad - Half-Time.  (0 Hours)
CS 6962.,ective.  (1-4 Hours)
CS 6964.,-op Work Experience.  (0 Hours)
CS 6965.,-op Work Experience Abroad.  (0 Hours)
CS 7140.,vanced Machine Learning.  (4 Hours)
CS 7150.,ep Learning.  (4 Hours)
CS 7170.,minar in Artificial Intelligence.  (2-4 Hours)
CS 7180.,ecial Topics in Artificial Intelligence.  (4 Hours)
CS 7200.,atistical Methods for Computer Science.  (4 Hours)
CS 7240.,"inciples of Scalable Data Management: Theory, Algorithms, and Database Systems.  (4 Hours)"
CS 7250.,formation Visualization: Theory and Applications.  (4 Hours)
CS 7260.,sualization for Network Science.  (4 Hours)
CS 7270.,minar in Database Systems.  (2-4 Hours)
CS 7280.,ecial Topics in Database Management.  (4 Hours)
CS 7290.,ecial Topics in Data Science.  (4 Hours)
CS 7295.,ecial Topics in Data Visualization.  (4 Hours)
CS 7300.,pirical Research Methods for Human Computer Interaction.  (4 Hours)
CS 7340.,eory and Methods in Human Computer Interaction.  (4 Hours)
CS 7375.,minar in Human-Computer Interaction.  (4 Hours)
CS 7380.,ecial Topics in Graphics/Image Processing.  (4 Hours)
CS 7390.,ecial Topics in Human-Centered Computing.  (4 Hours)
CS 7400.,tensive Principles of Programming Languages.  (4 Hours)
CS 7430.,"rmal Specification, Verification, and Synthesis.  (4 Hours)"
CS 7470.,minar in Programming Languages.  (2-4 Hours)
CS 7480.,ecial Topics in Programming Language.  (4 Hours)
CS 7485.,ecial Topics in Formal Methods.  (4 Hours)
CS 7575.,minar in Software Engineering.  (2-4 Hours)
CS 7580.,ecial Topics in Software Engineering.  (4 Hours)
CS 7600.,tensive Computer Systems.  (4 Hours)
CS 7610.,undations of Distributed Systems.  (4 Hours)
CS 7670.,minar in Computer Systems.  (2-4 Hours)
CS 7675.,ster's Research.  (4 Hours)
CS 7680.,ecial Topics in Computer Systems.  (4 Hours)
CS 7770.,minar in Computer Networks.  (2-4 Hours)
CS 7775.,minar in Computer Security.  (2-4 Hours)
CS 7800.,vanced Algorithms.  (4 Hours)
CS 7805.,mplexity Theory.  (4 Hours)
CS 7810.,undations of Cryptography.  (4 Hours)
CS 7870.,minar in Theoretical Computer Science.  (2-4 Hours)
CS 7880.,ecial Topics in Theoretical Computer Science.  (4 Hours)
CS 7930.,fective Scientific Writing in Computer Science.  (2 Hours)
CS 7962.,ective.  (2-4 Hours)
CS 7976.,rected Study.  (2-4 Hours)
CS 7980.,search Capstone.  (4 Hours)
CS 7986.,search.  (0 Hours)
CS 7990.,esis.  (4 Hours)
CS 7996.,esis Continuation - Half-Time.  (0 Hours)
CS 8674.,ster’s Project.  (4 Hours)
CS 8948.,search Work Experience - Half-Time.  (0 Hours)
CS 8949.,search Work Experience.  (0 Hours)
CS 8982.,adings.  (1-8 Hours)
CS 8986.,search.  (0 Hours)
CS 9000.,D Candidacy Achieved.  (0 Hours)
CS 9990.,ssertation Term 1.  (0 Hours)
CS 9991.,ssertation Term 2.  (0 Hours)
CS 9996.,ssertation Continuation.  (0 Hours)
CSYE 6200.,Concepts of Object-Oriented Design.  (4 Hours)
CSYE 6202.,Concepts of Object-Oriented Design with C#.  (4 Hours)
CSYE 6205.,Concepts of Object-Oriented Design with C++.  (4 Hours)
CSYE 6220.,Enterprise Software Design.  (4 Hours)
CSYE 6225.,Network Structures and Cloud Computing.  (4 Hours)
CSYE 6230.,Operating Systems.  (4 Hours)
CSYE 6305.,Introduction to Quantum Computing with Applications.  (4 Hours)
CSYE 6700.,Technical Writing and Professional Development.  (0 Hours)
CSYE 6962.,Elective.  (1-4 Hours)
CSYE 7105.,High-Performance Parallel Machine Learning and AI.  (4 Hours)
CSYE 7125.,Advanced Cloud Computing.  (4 Hours)
CSYE 7200.,Big-Data System Engineering Using Scala.  (4 Hours)
CSYE 7215.,"Foundations of Parallel, Concurrent, and Multithreaded Programming.  (4 Hours)"
CSYE 7220.,Deployment and Operation of Software Applications.  (4 Hours)
CSYE 7224.,"Engineering Reliable, Scalable, and Maintainable Distributed Systems.  (4 Hours)"
CSYE 7230.,Software Engineering.  (4 Hours)
CSYE 7235.,Model-Driven Architecture.  (4 Hours)
CSYE 7270.,Building Virtual Environments.  (4 Hours)
CSYE 7280.,User Experience Design and Testing.  (4 Hours)
CSYE 7370.,Deep Learning and Reinforcement Learning in Game Engineering.  (4 Hours)
CSYE 7374.,Special Topics in Computer Systems Engineering.  (4 Hours)
CSYE 7380.,Theory and Practical Applications of AI Generative Modeling.  (4 Hours)
CSYE 7470.,Advanced Game Analytics.  (4 Hours)
CSYE 7550.,Distributed Intelligent Agents in the Metaverse.  (4 Hours)
CSYE 7962.,Elective.  (1-4 Hours)
CSYE 7986.,Research.  (0 Hours)
CSYE 7990.,Thesis.  (1-8 Hours)
CSYE 7996.,Thesis Continuation - Half-Time.  (0 Hours)
CMG 6400.,ntroduction to Construction Management.  (4 Hours)
CMG 6402.,lternative Project Delivery Methods and Project Controls.  (4 Hours)
CMG 6403.,"afety, Project Risk, and Quality Management.  (4 Hours)"
CMG 6405.,onstruction Law.  (4 Hours)
CMG 6962.,lective.  (1-4 Hours)
COOP 1990.,Elective.  (1-4 Hours)
COOP 2990.,Elective.  (1-4 Hours)
COOP 3945.,Co-op Work Experience.  (0 Hours)
COOP 3946.,Co-op Work Experience--Half Time.  (0 Hours)
COOP 3947.,Co-op Work Experience Abroad--Half Time.  (0 Hours)
COOP 3948.,Co-op Work Experience Abroad.  (0 Hours)
COOP 3949.,Internship Exchange.  (0 Hours)
COOP 3990.,Elective.  (1-4 Hours)
COOP 4990.,Elective.  (1-4 Hours)
COOP 6962.,Elective.  (1-4 Hours)
COP 3940,ersonal and Career Development.  (3 Hours)
COP 3944,o-op Work Experience - Half-Time.  (0 Hours)
COP 3945,o-op Work Experience—Full Time.  (0 Hours)
COP 4946,lobal Co-op Work Experience - Full Time.  (0 Hours)
COP 5002,nternship.  (0 Hours)
COP 6940,ersonal and Career Development.  (3-4 Hours)
COP 6945,o-op Work Experience—Full Time.  (0 Hours)
COP 6946,lobal Co-op Work Experience—Full Time.  (0 Hours)
EXED 1990.,Elective.  (1-4 Hours)
EXED 2990.,Elective.  (1-4 Hours)
EXED 3990.,Elective.  (1-4 Hours)
EXED 4945.,Experiential Integration Seminar.  (0 Hours)
EXED 4990.,Elective.  (1-4 Hours)
EXED 6945.,Experiential Integration Seminar.  (0 Hours)
EXED 6962.,Elective.  (1-4 Hours)
EEAM 1990.,Elective.  (1-4 Hours)
EEAM 2000.,Professional Development for Co-op.  (1 Hour)
EEAM 2010.,Internship for Career Decision Making.  (1 Hour)
EEAM 2990.,Elective.  (1-4 Hours)
EEAM 3990.,Elective.  (1-4 Hours)
EEAM 4990.,Elective.  (1-4 Hours)
EEAM 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
EEAM 6955.,Co-op Work Experience Abroad - Half-Time.  (0 Hours)
EEAM 6962.,Elective.  (1-4 Hours)
EEAM 6964.,Co-op Work Experience.  (0 Hours)
EEAM 6965.,Co-op Work Experience Abroad.  (0 Hours)
EEBA 1990.,Elective.  (1-4 Hours)
EEBA 2990.,Elective.  (1-4 Hours)
EEBA 3990.,Elective.  (1-4 Hours)
EEBA 4990.,Elective.  (1-4 Hours)
EEBA 6401.,Experiential Business Decision Making.  (1-3 Hours)
EEBA 6402.,EXPO Challenge: Sustainability.  (2 Hours)
EEBA 6403.,"EXPO Challenge: Diversity, Equity, and Inclusion.  (2 Hours)"
EEBA 6962.,Elective.  (1-4 Hours)
EESC 1990.,Elective.  (1-4 Hours)
EESC 2000.,Professional Development for Co-op.  (1 Hour)
EESC 2001.,Co-op Preparation for International Students.  (1 Hour)
EESC 2990.,Elective.  (1-4 Hours)
EESC 3000.,"Values, Ethics, and Professionalism in the Sciences.  (4 Hours)"
EESC 3990.,Elective.  (1-4 Hours)
EESC 4990.,Elective.  (1-4 Hours)
EESC 6962.,Elective.  (1-4 Hours)
EESC 9700.,Dissertation Fieldwork.  (0 Hours)
EESC 9701.,Dissertation Fieldwork - Half-Time.  (0 Hours)
EESH 1990.,Elective.  (1-4 Hours)
EESH 2000.,Professional Development for Co-op.  (1 Hour)
EESH 2990.,Elective.  (1-4 Hours)
EESH 2994.,Internship.  (1 Hour)
EESH 3990.,Elective.  (1-4 Hours)
EESH 4990.,Elective.  (1-4 Hours)
EESH 6962.,Elective.  (1-4 Hours)
INNO 1990.,Elective.  (1-4 Hours)
INNO 2206.,Global Social Enterprise.  (4 Hours)
INNO 2301.,Innovation!.  (4 Hours)
INNO 2304.,Industry Disruption and Corporate Transformation.  (4 Hours)
INNO 2414.,Social Responsibility of Business in an Age of Inequality.  (4 Hours)
INNO 2990.,Elective.  (1-4 Hours)
INNO 3308.,Business Economic History of South Africa.  (4 Hours)
INNO 3335.,Product Innovation and Portfolio Management.  (4 Hours)
INNO 3520.,Impact Investing and Social Finance.  (4 Hours)
INNO 3990.,Elective.  (1-4 Hours)
INNO 4225.,"Growth, Acquisitions, and Alliances.  (4 Hours)"
INNO 4504.,Integrated Studies in Corporate Innovation.  (4 Hours)
INNO 4506.,Integrated Studies in Social Innovation and Entrepreneurship.  (4 Hours)
INNO 4990.,Elective.  (1-4 Hours)
INNO 6200.,Enterprise Growth and Innovation.  (3 Hours)
INNO 6217.,Lean Innovation.  (3 Hours)
INNO 6222.,"Competing in Dynamic, Innovation-Driven Markets.  (3 Hours)"
INNO 6225.,"Acquisitions, Alliances, and Growth.  (3 Hours)"
INNO 6226.,Leading Digital Transformation in Organizations.  (3 Hours)
INNO 6227.,Digital Bias in Business.  (3 Hours)
INNO 6230.,Platform Innovation.  (3 Hours)
INNO 6240.,Strategic Disruption Residency 1.  (1 Hour)
INNO 6241.,Strategic Disruption Residency 2.  (1 Hour)
INNO 6242.,Strategic Disruption Residency 3.  (1 Hour)
INNO 6250.,Integrated and Applied Technology Leadership Project.  (3 Hours)
INNO 6300.,Managing a Technology-Based Business.  (3 Hours)
INNO 6318.,Innovation Driven Strategy.  (2 Hours)
INNO 6962.,Elective.  (1-4 Hours)
CAEP 1280.,Introduction to Mindfulness.  (4 Hours)
CAEP 1290.,Personal Behavior Change.  (4 Hours)
CAEP 1990.,Elective.  (1-4 Hours)
CAEP 2012.,Health Psychology: An Introduction.  (4 Hours)
CAEP 2030.,Education and Learning in Ghana.  (4 Hours)
CAEP 2040.,Higher Education in Ghana.  (4 Hours)
CAEP 2050.,"Health Systems, Services, and Education in Ghana.  (4 Hours)"
CAEP 2060.,Health and Well-Being in Ghana.  (4 Hours)
CAEP 2101.,Behavioral Assessment and Treatment of Health Problems in the 21st Century.  (4 Hours)
CAEP 2105.,College Student Mental Health.  (4 Hours)
CAEP 2280.,"The Yoga Tradition in Nepal: Philosophy, Methods, and Practice.  (4 Hours)"
CAEP 2290.,"The Yoga Tradition: Philosophy, Methods, and Practice.  (4 Hours)"
CAEP 2990.,Elective.  (1-4 Hours)
CAEP 2991.,Research in Counseling and Applied Educational Psychology.  (1-4 Hours)
CAEP 3000.,Contemporary College Student Activism.  (4 Hours)
CAEP 3200.,Childhood Adversity and College Attainment.  (4 Hours)
CAEP 3310.,Say It Loud: The Black Power Movement and Higher Education.  (4 Hours)
CAEP 3480.,Counseling Theories and Practice.  (4 Hours)
CAEP 3485.,Mental Health and Counseling.  (4 Hours)
CAEP 3899.,Relationships in College.  (4 Hours)
CAEP 3990.,Elective.  (1-4 Hours)
CAEP 4990.,Elective.  (1-4 Hours)
CAEP 4991.,Research.  (4 Hours)
CAEP 4992.,Directed Study.  (1-4 Hours)
CAEP 5150.,Early Intervention: Family Systems.  (3 Hours)
CAEP 5151.,"Early Intervention: Infant and Toddler Development, Risk, and Disability.  (3 Hours)"
CAEP 5153.,Early Intervention: Assessment and Intervention.  (3 Hours)
CAEP 5330.,Applied Animal Behavior Analysis.  (4 Hours)
CAEP 5876.,Mental Health Education and Program Planning.  (3 Hours)
CAEP 5877.,Research Methods in Applied Psychology.  (3 Hours)
CAEP 5878.,Pediatric Psychology.  (3 Hours)
CAEP 5879.,Trauma and Mental Health.  (3 Hours)
CAEP 6100.,Prevention and Intervention: Evidence-Based Practices.  (3 Hours)
CAEP 6110.,Etiology-Psychopathology Across the Life Span.  (3 Hours)
CAEP 6200.,Introduction to Counseling: Theory and Process in an Ecological Context.  (3 Hours)
CAEP 6201.,Introduction to Assessment.  (3 Hours)
CAEP 6202.,"Research, Evaluation, and Data Analysis.  (3 Hours)"
CAEP 6203.,Understanding Culture and Diversity.  (3 Hours)
CAEP 6206.,Learning Principles.  (3 Hours)
CAEP 6218.,"Infant, Child, and Adolescent Development.  (3 Hours)"
CAEP 6220.,Development Across the Life Span.  (3 Hours)
CAEP 6222.,Human Sexuality.  (3 Hours)
CAEP 6235.,"Vocational, Education, and Career Development.  (3 Hours)"
CAEP 6242.,Psychopathology: Diagnosis and Treatment Planning.  (3 Hours)
CAEP 6247.,Child and Adolesent Psychopathology.  (3 Hours)
CAEP 6250.,Individual Interventions.  (3 Hours)
CAEP 6260.,Community Counseling Psychology.  (3 Hours)
CAEP 6282.,Ethics and Professional Development.  (3 Hours)
CAEP 6283.,Brief Therapies.  (3 Hours)
CAEP 6286.,Family Counseling Interventions.  (3 Hours)
CAEP 6287.,Group Counseling.  (3 Hours)
CAEP 6324.,Programmed Learning.  (3 Hours)
CAEP 6326.,Behavioral Concepts and Principles.  (3 Hours)
CAEP 6327.,Behavior Assessment.  (3 Hours)
CAEP 6328.,Single-Case Research Design.  (3 Hours)
CAEP 6329.,Service Administration.  (3 Hours)
CAEP 6331.,Advanced Learning Seminar 1.  (3 Hours)
CAEP 6332.,Advanced Learning Seminar 2.  (3 Hours)
CAEP 6334.,Applied Programming Seminar 1.  (3 Hours)
CAEP 6335.,Applied Programming Seminar 2.  (3 Hours)
CAEP 6336.,Systematic Inquiry 1.  (3 Hours)
CAEP 6338.,Clinical Practice Supervision.  (1-3 Hours)
CAEP 6345.,Promoting Youth Academic Success in Schools.  (3 Hours)
CAEP 6347.,Behavior Management.  (3 Hours)
CAEP 6350.,Introduction to Cognitive Assessment.  (3 Hours)
CAEP 6352.,Personality Assessment.  (3 Hours)
CAEP 6353.,Curriculum-Based Assessment and Data-Based Decision Making.  (3 Hours)
CAEP 6354.,"Social, Emotional, and Behavioral Assessment.  (3 Hours)"
CAEP 6360.,Consultation and Program Evaluation.  (3 Hours)
CAEP 6365.,Seminar in School Psychology.  (3 Hours)
CAEP 6375.,Substance Use and Treatment.  (3 Hours)
CAEP 6380.,Seminar in Feminist Psychology.  (3 Hours)
CAEP 6390.,History and Systems of Psychology.  (3 Hours)
CAEP 6394.,Advanced Multicultural Psychology.  (3 Hours)
CAEP 6399.,Clinical Skills in Counseling Psychology.  (3 Hours)
CAEP 6400.,Prepracticum in School Psychology.  (1 Hour)
CAEP 6401.,Counseling Children and Adolescents in Schools.  (3 Hours)
CAEP 6402.,"Promoting Social, Emotional, and Behavioral Success in Schools.  (3 Hours)"
CAEP 6962.,Elective.  (1-4 Hours)
CAEP 6999.,Practicum Continuation.  (0 Hours)
CAEP 7701.,Doctoral Seminar in Counseling Psychology.  (1 Hour)
CAEP 7702.,"Scholarship, Teaching, and Leadership in Applied Psychology.  (3 Hours)"
CAEP 7703.,Grant Writing in the Health Professions.  (3 Hours)
CAEP 7710.,Advanced Clinical Assessment.  (3 Hours)
CAEP 7711.,Measurement: Advanced Psychometric Principles.  (3 Hours)
CAEP 7712.,Intermediate Statistical Data Analysis Techniques.  (3 Hours)
CAEP 7716.,Advanced Research and Data Analyses 2.  (3 Hours)
CAEP 7720.,Advanced Clinical Interventions.  (3 Hours)
CAEP 7732.,Legal and Ethical Issues in Community and Educational Settings.  (3 Hours)
CAEP 7741.,"Advanced Fieldwork 1.  (1,2 Hours)"
CAEP 7742.,"Advanced Fieldwork 2.  (1,2 Hours)"
CAEP 7743.,"Advanced Fieldwork 3.  (1,2 Hours)"
CAEP 7744.,"Advanced Fieldwork 4.  (1,2 Hours)"
CAEP 7750.,Biological Bases of Behavior.  (3 Hours)
CAEP 7755.,Cognitive and Affective Bases of Behavior.  (3 Hours)
CAEP 7756.,Social Psychology in an Organizational and Ecological Context.  (3 Hours)
CAEP 7758.,Doctoral Seminar in Contemporary Theories of Psychotherapy.  (3 Hours)
CAEP 7771.,Research Team Experience.  (1 Hour)
CAEP 7777.,Doctoral Seminar: Program Planning and Evaluation.  (3 Hours)
CAEP 7798.,Doctoral Internship.  (0.5-2 Hours)
CAEP 7799.,Doctoral Internship 2.  (2 Hours)
CAEP 7962.,Elective.  (1-4 Hours)
CAEP 7976.,Directed Study.  (1-4 Hours)
CAEP 8401.,Practicum in Counseling Psychology.  (3 Hours)
CAEP 8415.,Practicum in School Psychology 1.  (2 Hours)
CAEP 8416.,Practicum in School Psychology 2.  (2 Hours)
CAEP 8417.,Intensive Practicum in Applied Behavior Analysis 1.  (2 Hours)
CAEP 8418.,Intensive Practicum in Applied Behavior Analysis 2.  (2 Hours)
CAEP 8419.,Intensive Practicum in Applied Behavior Analysis 3.  (2 Hours)
CAEP 8421.,Intensive Practicum in Applied Behavior Analysis 4.  (2 Hours)
CAEP 8501.,Internship in School Psychology 1.  (3 Hours)
CAEP 8502.,Internship in School Psychology 2.  (1-2 Hours)
CAEP 8510.,Internship in Counseling Psychology 1.  (3 Hours)
CAEP 8511.,Internship in Counseling Psychology 2.  (3 Hours)
CAEP 8553.,"Advanced Counseling Practicum.  (1,2 Hours)"
CAEP 8984.,Research.  (1-4 Hours)
CAEP 8986.,Research.  (0 Hours)
CAEP 9000.,Comprehensive Exam.  (0 Hours)
CAEP 9990.,Dissertation Term 1.  (0 Hours)
CAEP 9991.,Dissertation Term 2.  (0 Hours)
CAEP 9996.,Dissertation Continuation.  (0 Hours)
CJS 6025.,enocide and War Crimes.  (3 Hours)
CJS 6030.,rganized Crime.  (3 Hours)
CJS 6035.,"orruption, Integrity, and Accountability.  (3 Hours)"
CJS 6040.,uman Trafficking and Exploitation.  (3 Hours)
CJS 6045.,olicing Issues around the Globe.  (3 Hours)
CJS 6105.,omestic and International Terrorism.  (3 Hours)
CJS 6125.,ational Security—Law and Policy.  (3 Hours)
CJS 6135.,ntimate Partner Violence.  (3 Hours)
CJS 6300.,ommunities and Crime.  (3 Hours)
CJS 6340.,ubstance Abuse and Addictions.  (3 Hours)
CJS 6405.,riminological Theory for Criminal Justice Leaders.  (3 Hours)
CJS 6415.,egal Decision Making and Leadership.  (3 Hours)
CJS 6430.,isk Management.  (3 Hours)
CJS 6435.,rogram Evaluations.  (3 Hours)
CJS 6440.,"IS, Evidence-Based Learning, and Policy.  (3 Hours)"
CJS 6470.,riminal Justice Capstone.  (3 Hours)
CJS 6962.,lective.  (1-4 Hours)
CRIM 1000.,Criminal Justice at Northeastern.  (1 Hour)
CRIM 1100.,Introduction to Criminal Justice.  (4 Hours)
CRIM 1110.,Criminal Due Process.  (4 Hours)
CRIM 1120.,Criminology.  (4 Hours)
CRIM 1300.,The Death Penalty.  (4 Hours)
